algorithm,feature_1,feature_2,class_1_pos,class_2_neg,accuracy,final_train_mse,epochs_run,w1,w2,b,mean_1,mean_2,std_1,std_2,cm_tn,cm_fp,cm_fn,cm_tp
perceptron,gender,fin_length,A,B,1.0,0.0,2,1.2301533574825534e-05,-0.004166239532756771,0.0012586214463778242,0.0,200.33333333333334,0.983192080250175,15.842628850316759,20,0,0,20
perceptron,gender,beak_length,A,C,1.0,0.13333333333333333,100,0.003947332016580823,-0.007462005144429426,0.0012586214463778242,0.03333333333333333,43.67166666666667,0.9826268648655783,5.52054018089615,20,0,0,20
perceptron,beak_depth,fin_length,A,B,1.0,0.0,2,0.004205524024311308,-0.0037454339499425667,-0.0007413785536221759,16.75166666666666,200.33333333333334,2.2647657470230533,15.842628850316759,20,0,0,20
perceptron,body_mass,beak_depth,A,B,1.0,0.0,2,-0.0027675377719484856,0.004001541123107669,-0.0007413785536221759,4367.916666666667,16.75166666666666,840.2763888877411,2.2647657470230533,20,0,0,20
perceptron,gender,beak_depth,B,C,1.0,0.0,41,0.0038492501938047793,-0.01180069882149722,0.0012586214463778242,0.05,16.60333333333333,0.990370301116372,2.12422273366571,20,0,0,20
perceptron,body_mass,beak_depth,B,C,1.0,0.0,2,0.0034878843657811355,-0.002947264401175157,-0.0007413785536221759,4364.583333333333,16.60333333333333,826.0005506791276,2.12422273366571,20,0,0,20
perceptron,beak_length,beak_depth,A,C,1.0,0.0,2,-0.006824589802520195,0.002176219311794964,-0.0007413785536221759,43.67166666666667,18.621666666666666,5.52054018089615,1.039565881617044,20,0,0,20
adaline,beak_depth,fin_length,A,B,1.0,0.04496490404636103,100,0.4706221986937708,-0.5738517434411706,2.403707776975895e-05,16.75166666666666,200.33333333333334,2.2647657470230533,15.842628850316759,20,0,0,20
adaline,gender,beak_depth,A,B,1.0,0.1455502003768639,100,-0.23081057052241305,0.9487747167632248,0.0005796925538497529,0.0,16.75166666666666,0.983192080250175,2.2647657470230533,20,0,0,20
adaline,gender,fin_length,A,B,1.0,0.11974593863130935,100,0.1239278445684597,-0.9433920247847299,-0.0003884021335509546,0.0,200.33333333333334,0.983192080250175,15.842628850316759,20,0,0,20
adaline,body_mass,beak_depth,A,B,1.0,0.07399299018261954,100,-0.4415081990509491,0.6386447538372954,-3.3413923389577434e-05,4367.916666666667,16.75166666666666,840.2763888877411,2.2647657470230533,20,0,0,20
perceptron,beak_depth,fin_length,B,C,1.0,0.0,2,-0.002909551513330476,0.003912838251645254,-0.0007413785536221759,16.60333333333333,204.63333333333333,2.12422273366571,11.59880262019413,20,0,0,20
adaline,body_mass,fin_length,A,B,1.0,0.14828194940719236,100,-0.20860128189598326,-0.719901622327767,-0.0008170593759292342,4367.916666666667,200.33333333333334,840.2763888877411,15.842628850316759,20,0,0,20
adaline,beak_length,beak_depth,A,B,1.0,0.0670350005344217,100,-0.46422527505741273,0.6097436552643083,0.00041989083795431175,42.945,16.75166666666666,5.003812712988633,2.2647657470230533,20,0,0,20
adaline,beak_length,fin_length,A,B,1.0,0.1408800659179517,100,-0.2738024602993145,-0.6696940121069532,-0.0005167518952057593,42.945,200.33333333333334,5.003812712988633,15.842628850316759,20,0,0,20
adaline,beak_length,beak_depth,A,C,1.0,0.1295083878190255,100,-0.9272510016777309,0.29040382743804194,0.0002775888562744199,43.67166666666667,18.621666666666666,5.52054018089615,1.039565881617044,20,0,0,20
adaline,beak_depth,fin_length,B,C,1.0,0.07249249489546875,100,-0.5608983546454968,0.5110917330052245,0.00025317559308222213,16.60333333333333,204.63333333333333,2.12422273366571,11.59880262019413,20,0,0,20
adaline,gender,body_mass,B,C,1.0,0.26193965153190696,100,-0.322811385556542,0.9058164654764711,-0.0010983351714664129,0.05,4364.583333333333,0.990370301116372,826.0005506791276,20,0,0,20
adaline,body_mass,beak_depth,B,C,1.0,0.08052792573377054,100,0.46914631781592064,-0.6211225910740419,-0.0001757781688633228,4364.583333333333,16.60333333333333,826.0005506791276,2.12422273366571,20,0,0,20
adaline,gender,beak_depth,B,C,1.0,0.12358424487664076,100,0.34258147181449544,-0.9923792148085738,0.0014885086591831258,0.05,16.60333333333333,0.990370301116372,2.12422273366571,20,0,0,20
perceptron,gender,fin_length,B,C,0.975,0.2,100,-0.004026591792983021,0.007470676764632712,-0.002741378553622176,0.05,204.63333333333333,0.990370301116372,11.59880262019413,20,0,1,19
perceptron,body_mass,fin_length,B,C,0.975,0.26666666666666666,100,0.0017929702415121578,0.004774996211173721,-0.0007413785536221759,4364.583333333333,204.63333333333333,826.0005506791276,11.59880262019413,19,1,0,20
